,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,volatility
a2c,2000000.0,2854301.636850001,12.5874432821943,4.522420123107089e-05,691.3249302197888,-1552427.2926,0.2512795328183774
ddpg,2000000.0,2898380.4501500004,13.164045679288128,6.76793346137275e-05,962.509814395571,-873454.3499999996,0.2028142339348623
td3,2000000.0,2965545.2935,14.031504751893852,5.239791106335441e-05,1137.3790085845685,-583462.55,0.20255252411905544
ppo,2000000.0,3746255.8200000003,23.269550308372832,6.733577770464225e-05,1698.3060705618018,-669789.17035,0.20947367325449254
sac,2000000.0,4259982.767225,28.66466162823118,6.484843113332723e-05,2015.0529027125758,-690311.2499999995,0.2393439694492335
mvo,2003917.6920480737,4544976.374959797,31.386451556296446,7.028180725793189e-05,2167.5967210580675,-1318667.9812685498,0.21154085780474477
