,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2000000.0,2309633.5307000005,4.915026197769667,2.5614235811106406e-05,560.4083346610965,-571227.1999999997
ddpg,2000000.0,2312725.6014499995,4.961824390228986,2.8825515922108653e-05,709.9990953269358,-410595.7000000002
td3,2000000.0,2134873.89985,2.1991798731488155,1.8776789087403188e-05,259.01065978130737,-337135.19999999995
ppo,2000000.0,2331188.5401499984,5.240394632357548,4.779941567803658e-05,809.2252424283146,-217411.21435000002
sac,2000000.0,2114773.168600001,1.877418560871269,2.4097738659114343e-05,222.71901005142237,-298548.6796000004
mvo,2053141.1006677449,1949725.96077617,-1.707980273628562,-1.490923757717455e-05,-147.4941862492408,-429814.84684054065
