,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2000000.0,3169525.5684250016,16.588242236338502,4.1536523743379304e-05,1111.4099125905223,-628541.7499999998
ddpg,2000000.0,1662237.150425,-5.979837763435459,-1.5457889917998767e-05,-299.14945085767516,-1527593.604475
td3,2000000.0,2572717.454675,8.756201940571206,5.8704196336479524e-05,634.2688676298709,-869250.209025
ppo,2000000.0,2209713.434150001,3.3797125149993557,1.7910390274096897e-05,207.38503339738645,-942328.7172749992
sac,2000000.0,2240570.7578000003,3.8587016942540187,1.8301148818059475e-05,202.2775643235262,-957291.6220250002
mvo,2003917.6920480737,4544976.374959797,31.386451556296446,7.028180725793189e-05,2167.5967210580675,-1318667.9812685498
