,initial_value,final_value,annual_return,sharpe_ratio,max_drawdown
a2c,2000000.0,3184837.04076,16.77568046385989,4.3687128020887535e-05,-882142.4612249995
ddpg,2000000.0,2928204.6426599994,13.550872711758966,3.683343121605795e-05,-1062499.46
td3,2000000.0,2565386.729755,8.652806697144078,3.2496152833577766e-05,-1267123.8499999994
ppo,2000000.0,2161688.2984150103,2.625280854688894,9.389498697764698e-06,-1077620.5521050002
sac,2000000.0,2959424.6256900006,13.952999832395507,4.0524187555692663e-05,-1278020.6818150003
mvo,2012918.8668272812,4106477.918975474,26.827784831078926,4.611925364775381e-05,-1581064.8603773788
