,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2000000.0,2122822.710650001,2.006514876873511,2.1074007602282358e-05,269.2021039723929,-352046.6000000001
ddpg,2000000.0,2334894.006600001,5.2961256194150375,2.6850504784562374e-05,678.9091938658578,-372392.2999999998
td3,2000000.0,2046095.0002499998,0.7624223528308383,5.086768250385563e-06,62.87909678317074,-491454.6000000001
ppo,2000000.0,1719099.2044500015,-4.919750090691655,-3.703829450078363e-05,-272.56338094785417,-639437.5460999999
sac,2000000.0,2152563.0825499995,2.4806718669800443,1.708135276842767e-05,280.44019135118947,-472526.1000000001
mvo,2053987.9158004432,2077495.588076144,0.38005022756510964,3.2266803786724494e-06,31.166531027986093,-402250.40411073295
