,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2000000.0,2772236.2638250007,11.497915514329794,6.100664909339244e-05,663.39705026105,-1021523.2081500003
ddpg,2000000.0,2533332.9584999993,8.198380215956135,2.3328364930386813e-05,442.6334606304723,-1674815.9999999998
td3,2000000.0,3003113.314200001,14.511008955269444,8.366952651548177e-05,1044.2119150462954,-941891.05
ppo,2000000.0,2366744.8078,5.772754060970664,2.5676230240953835e-05,326.7146509546508,-1165974.09375
sac,2000000.0,2257401.7016250007,4.118111952342263,1.2257528830235007e-05,231.67708961165528,-1646759.5722749995
mvo,2003917.6920480737,4544976.374959797,31.386451556296446,7.028180725793189e-05,2167.5967210580675,-1318667.9812685498
