time/total_timesteps,train/n_updates,time/episodes,time/time_elapsed,time/fps,train/learning_rate,train/critic_loss,train/actor_loss,train/reward,train/ent_coef_loss,train/ent_coef
10424,10323,4,175,59,0.0001,15.799112319946289,295.09295654296875,-0.9018038,-143.35525512695312,0.08442504703998566
20848,20747,8,348,59,0.0001,14.728471755981445,144.86842346191406,3.1622217,-197.83140563964844,0.0297129824757576
31272,31171,12,523,59,0.0001,7.93182897567749,82.93457794189453,0.0148,-221.23251342773438,0.010610206052660942
41696,41595,16,698,59,0.0001,10.17355728149414,56.91347122192383,-0.1119,-176.8551483154297,0.003886103630065918
