,initial_value,final_value,annual_return,sharpe_ratio,sortino_ratio,max_drawdown
a2c,2000000.0,3389201.8167350003,19.221837647698315,4.494972577283703e-05,1139.8860383319509,-1141350.844525
ddpg,2000000.0,3231911.710425,17.348217603160656,4.540986391789371e-05,924.3944137150457,-1327533.1199999999
td3,2000000.0,2900473.2601650013,13.19127627385499,3.7340418855103926e-05,833.0704623312141,-1159989.5700000003
ppo,2000000.0,2129761.087740003,2.1175290096029586,1.1097525649541153e-05,191.96325256456333,-831798.3008850003
sac,2000000.0,2422398.3383150003,6.595414184530712,2.0386421274506847e-05,391.0368404040825,-1093168.847204999
mvo,2012918.8668272812,4106477.918975474,26.827784831078926,4.611925364775381e-05,1538.4076380142772,-1581064.8603773788
